latitude;longitude;acq_date
-2.1864;121.3265;10/03/2016
-2.5762;121.3772;10/03/2016
-3.7736;121.7349;10/03/2016
1.145;121.3409;10/03/2016
0.8329;120.6449;10/03/2016
1.1437;121.3315;10/03/2016
1.2782;120.9388;10/03/2016
0.496;123.2214;12/03/2016
-2.5824;121.3744;12/03/2016
-1.1957;121.5728;12/03/2016
-3.0084;120.1876;12/03/2016
-0.3072;119.9764;12/03/2016
1.0361;121.5443;12/03/2016
0.4897;122.0519;12/03/2016
0.6216;122.5901;13/03/2016
-3.7912;119.6478;13/03/2016
0.487;122.0392;13/03/2016
-5.4703;122.6109;14/03/2016
-1.5207;122.2674;14/03/2016
0.7544;122.6014;15/03/2016
-2.5755;121.3789;15/03/2016
1.4456;125.1875;17/03/2016
-5.5526;120.3915;19/03/2016
1.4936;125.1899;19/03/2016
-3.9197;119.8616;20/03/2016
-5.4706;122.5884;21/03/2016
-5.4679;122.608;21/03/2016
-2.5866;121.3702;21/03/2016
-3.0011;120.1814;21/03/2016
-2.5807;121.3746;21/03/2016
-5.4631;122.615;23/03/2016
-1.0401;121.4838;23/03/2016
-1.522;122.2621;24/03/2016
0.7151;122.728;26/03/2016
0.6558;124.1083;26/03/2016
0.7136;122.7377;26/03/2016
-5.2197;119.4398;26/03/2016
0.9894;122.4458;26/03/2016
-2.5741;121.3861;26/03/2016
-2.5765;121.3801;26/03/2016
1.0368;120.8215;28/03/2016
0.3879;123.9039;28/03/2016
1.4453;125.189;28/03/2016
1.0383;120.8296;29/03/2016
1.4475;125.1884;30/03/2016
-2.5824;121.3628;30/03/2016
-2.5795;121.3674;30/03/2016
1.0371;120.8206;31/03/2016
1.4509;125.1879;01/04/2016
0.8726;120.8514;02/04/2016
1.2461;121.0598;02/04/2016
-0.8257;122.3894;02/04/2016
-2.5761;121.3685;02/04/2016
-2.5777;121.3791;02/04/2016
-2.8254;122.1616;02/04/2016
-0.9728;122.1254;02/04/2016
-2.5821;121.3684;02/04/2016
-3.216;121.6299;02/04/2016
-3.2263;121.6222;02/04/2016
-3.2353;121.6235;02/04/2016
-2.5808;121.3774;02/04/2016
-3.9283;119.8012;04/04/2016
-2.8325;122.1645;04/04/2016
-2.0936;121.4434;04/04/2016
0.7174;122.5199;06/04/2016
1.0432;120.8275;06/04/2016
-2.588;121.3833;06/04/2016
1.0268;121.4707;06/04/2016
0.4111;123.1777;06/04/2016
1.0399;120.824;07/04/2016
-2.431;120.9209;07/04/2016
-3.0064;120.1927;07/04/2016
-2.4273;120.9155;07/04/2016
-4.1449;120.0152;07/04/2016
-2.1783;119.3473;07/04/2016
-1.2225;121.6197;07/04/2016
-2.5832;121.3706;08/04/2016
-2.5863;121.3904;08/04/2016
-5.4648;122.6069;08/04/2016
